,name,latitude,longitude,city,country
982,Sandakan Airport,5.8974776,118.06163,Sandakan,Malaysia
983,Baise Bama Airport,23.716698,106.97122,Baise Shi,China
985,Long Island Airport,40.79482,-73.100586,Ronkonkoma,United States
987,Mogilev Airport,53.95824,30.09785,Mogilev,Belarus
988,Mountain Home Air Force Base,43.044415,-115.86198,Mountain Home Air Force Base,United States
989,Chehalis-Centralia Airport,46.676876,-122.98284,Chehalis,United States
990,Columbus Municipal Airport (FAA: BAK),39.99994,-82.88718,Columbus,United States
992,Clearwater Air Park,27.975695,-82.75632,Clearwater,United States
993,Clorinda Airport,-25.30338,-57.73457,Clorinda,Argentina
994,Calvi – Sainte-Catherine Airport,42.52528,8.790031,Calvi,France
995,Calabozo Airport,8.925325,-67.414345,Calabozo,Venezuela
997,Cootamundra Airport,-34.628784,148.03473,Cootamundra,Australia
998,Ciudad del Carmen International Airport,18.65106,-91.80244,Ciudad del Carmen,Mexico
999,Chambéry-Savoie Airport,45.63802,5.8839135,Viviers-du-Lac,France
1000,John Glenn Columbus International Airport,39.99994,-82.88718,Columbus,United States
1001,Ghriss Airport,35.20627,0.1537348,格里斯,Algeria
1003,Harrison County Airport,40.23819,-81.01259,Cadiz,United States
1004,Talladega Municipal Airport,33.571472,-86.053154,Talladega,United States
1005,John F. Kennedy Memorial Airport,46.54861,-90.91889,Ashland,United States
1006,Ashley Municipal Airport,46.02772,-99.35667,Ashley,United States
1007,PAF Base Minhas,33.86493,72.41546,Kamra Kalan,Pakistan
1008,Artigas International Airport,-30.399202,-56.510723,Artigas,Uruguay
1009,Antsirabe Airport,-19.83728,47.065247,Antsirabe,Madagascar
1011,Ohio University Airport (Snyder Field) (FAA: UNI),39.21072,-82.22375,Albany,United States
1014,Noumérat – Moufdi Zakaria Airport,32.37849,3.8015246,Ghardaia,Algeria
1018,Monroe County Airport,39.14663,-86.61409,Bloomington,United States
1019,Montauk Airport,41.07639,-71.92066,Montauk,United States
1023,Yeager Airport,38.37145,-81.59349,Charleston,United States
1024,La Ronge (Barber Field) Airport,55.148067,-105.26686,La Ronge,Canada
1026,Likoma Airport,-12.075146,34.737423,Likoma,Malawi
1029,Macksville Airport,-30.675982,152.9825,Nambucca Heads,Australia
1031,Waimea-Kohala Airport,19.998394,-155.67332,Waimea,United States
1032,Casino Airport,-28.87831,153.05244,Casino,Australia
1033,Kayenta Airport (FAA: 0V7),36.71109,-110.23977,Kayenta,United States
1034,José Tadeo Monagas International Airport,9.749867,-63.15707,Maturin,Venezuela
1036,Smithton Airport,-40.834206,145.08342,Smithton,Australia
1038,San José Airport[2],37.364998,-121.9233,San Jose,United States
1039,Guanare Airport,9.026787,-69.75401,Guanare,Venezuela
1040,Gwadar International Airport,25.23185,62.329315,Gwadar,Pakistan
1041,Augusta State Airport,44.31882,-69.79554,Augusta,United States
1042,Austin Municipal Airport,43.66261,-92.93297,Austin,United States
1043,Auburn Municipal Airport,47.326523,-122.22451,Auburn,United States
